metric,count,mean,std,min,25%,median,75%,max
l1_normalized_divergence,294.0,0.28845835745045045,0.16179330640230608,0.03386454183266937,0.1787959009187318,0.23548052053592744,0.35072469565931214,0.8916860888779284
l2_normalized_divergence,294.0,0.11783336520295605,0.08005355521023076,0.01720837347505407,0.06352063185216168,0.09042782696028734,0.14105272613951383,0.45489928523731726
max_abs_normalized_divergence,294.0,0.07834079784107115,0.06614593382951488,0.01480481564649812,0.037370841896781526,0.05560476387640047,0.09235038644714702,0.3702999468840159
tail_normalized_divergence,294.0,0.0065572860471577584,0.06643205201960703,-0.3602375680807825,-0.0011800230390123377,0.01673537526080961,0.03879666059446415,0.13950539248231153
tail_relative_abs_divergence_mean,294.0,0.857979318153511,0.7269882996870546,0.13267900039365924,0.5290675205986065,0.7408297763106368,0.990658529920712,8.582583922894152
body_relative_abs_divergence_mean,294.0,0.5706036474097833,0.6837693121578631,0.05288060669708178,0.24589610171214737,0.35543812541726516,0.6634492041179995,6.710329610538999
location_diff_pm_minus_deribit,294.0,0.0029309033688641214,0.01268448834874608,-0.039330390250688976,-0.0041581192003937945,0.00095175112664396,0.006842206834964099,0.05161279720748599
spread_diff_pm_minus_deribit,294.0,0.004459957700640255,0.008368422582389637,-0.01834861682513006,-0.0007330073705338284,0.004022395905267009,0.009668902905922164,0.03490284836829485
skew_diff_pm_minus_deribit,294.0,-0.0372885208450343,0.5371716621037617,-2.8247071307642138,-0.2653161614814612,0.004498316125640536,0.22748131846807218,2.040091523841089
deribit_stale_bar_share,294.0,0.16197974454193434,0.07371906902575222,0.0,0.11111111111111116,0.16666666666666663,0.21820557491289197,0.2941176470588235
option_reprice_rmse_coin,294.0,0.006395922623918779,0.0035480685424735064,0.0006228839223263934,0.003988110685676734,0.005674868387174259,0.007873982585597444,0.01951282606226579
