horizon_gap_bin,event_days,events,tte_median,location_diff_median,spread_diff_pm_minus_deribit_median,spread_diff_deribit_minus_pm_median,skew_diff_median,pm_spread_median,deribit_spread_median
-32h,83,16,120.0,0.0016614210568905194,-0.0006294820658992589,0.0006294820658992589,0.0012726829338529644,0.051528459419648474,0.04954028326081274
-8h,94,17,96.0,-0.00021986077010487754,0.0027129312932852936,-0.0027129312932852936,-0.049056813149143744,0.04652431142662258,0.043480911226203844
+16h,52,12,72.0,0.001914708749469508,0.00946166799828669,-0.00946166799828669,0.09584283317038816,0.054740694717122035,0.04246213887455973
+40h,65,16,72.0,0.0010742497486730157,0.01038070904746572,-0.01038070904746572,0.017595960421735377,0.053351113204614775,0.041859394169496904
