event_type_for_trackB,events,total_informative_hours,median_informative_hours,events_ge_72_informative_hours,events_ge_48_informative_hours,events_zero_informative_hours,median_informative_share,median_event_survival,median_event_abs_change
bucket_distribution,79,9280,125.0,73,77,0,0.8333333333333334,0.490674318507891,0.01259661204566509
point_threshold,45,3129,78.0,25,28,4,0.5570469798657718,0.5874999999999999,0.00825
