cell_type,moneyness_bucket,rows,event_days,mean_abs_normalized_divergence,median_abs_normalized_divergence,mean_signed_normalized_divergence,mean_relative_abs_divergence,median_relative_abs_divergence,mean_log_odds_divergence,pm_probability_mean,deribit_probability_mean
bucket,above_1.05,744,255,0.020660027576573543,0.015269706365617343,0.0014457393078564837,0.7285904556186765,0.4901403803371652,2.376145506024457,0.05094488814983415,0.04949914884197766
bucket,below_0.95,717,249,0.019700179872039023,0.014106674679146017,-0.00582185146094433,0.793273443307858,0.4384722261543361,1.838459594473823,0.04929986231655938,0.05512171377750372
bucket,near_0.95_1.05,1065,293,0.03706982522306056,0.024755216824715903,0.0010993383611150069,0.30487585177280674,0.14976790093558515,-0.06468023955833041,0.17899469814539162,0.17789535978427662
left_tail,left_tail,294,294,0.030673423173829168,0.014565387984523332,-0.003984155261067444,0.9224014143965048,0.8802171370876928,3.5232429298639545,0.04681132914356972,0.05079548440463717
right_tail,right_tail,294,294,0.023174548739947134,0.013599867322158296,0.010541441308225204,0.7935572219105174,0.8235528528250906,3.53683720975553,0.05563645456632218,0.045095013258096985
