horizon_gap_bin,event_days,events,l1_mean,l1_median,l2_mean,max_abs_mean,tail_mean,stale_mean,repricing_rmse_mean
-32h,83,16,0.3155794672635861,0.24879076440205244,0.1282127975133697,0.08533774772201093,0.0006836294557050716,0.16168701591392648,0.00649050077539729
-8h,94,17,0.28948778311371104,0.22960517590729718,0.1287951477622148,0.090677722766789,-0.01250276245649417,0.16038146682994356,0.005976267602516298
+16h,52,12,0.27031077632711764,0.25876150054710234,0.10525559556311083,0.06848725383577928,0.016448101033322546,0.15987075432139758,0.006825757036442785
+40h,65,16,0.266856143474705,0.23934555570944713,0.09878942026352985,0.05944797484322035,0.033708604157208305,0.16635208411916044,0.0065381717929629095
