event_type_for_trackB,events,hourly_bars,pass_quality_bars,pass_quality_share,real_update_share,saturated_share,pass_quality_real_update_share,pass_quality_saturated_share,median_survival,pass_quality_median_survival,median_abs_change,pass_quality_median_abs_change
bucket_distribution,79,11756,10361,0.881337189520245,0.9723545423613474,0.08971201212580523,0.9767396969404497,0.08985619148730817,0.4780572915400142,0.4774066797642436,0.011523034653936184,0.011371307015342835
point_threshold,45,6469,6339,0.9799041582933993,0.767351986396661,0.41567475653114855,0.7651049061366146,0.42104432875847925,0.505,0.51,0.0050000000000000044,0.0050000000000000044
