spec,smooth_weight,event_days_common,events_common,l1_median,location_diff_median,location_abs_diff_median,pm_higher_location_share,pm_spread_median,deribit_spread_median,spread_diff_pm_minus_deribit_median,pm_wider_share,tail_relative_abs_divergence_mean,body_relative_abs_divergence_mean,tail_log_odds_divergence_mean,body_log_odds_divergence_mean,tail_normalized_divergence_median
smooth0,0.0,293,61,0.8857037431924023,0.0009410433051720993,0.005236524631630399,0.5324232081911263,0.05149312908022611,0.03929490507843884,0.009556196387606991,0.9078498293515358,1.1213155009962827,1.007961578296728,2.7794478181651914,5.455584958316118,0.01810767132756077
smooth005,0.05,293,61,0.25669715554000017,0.0009489013119319395,0.005295617372431402,0.5460750853242321,0.05149312908022611,0.042482301104851954,0.006791376661998777,0.8122866894197952,0.8894472995769657,0.5139776150406289,3.13173451998614,1.7875573106381633,0.017393177306940212
baseline,0.1,293,61,0.23560180838779415,0.0009857899732805303,0.0052931882011228075,0.5460750853242321,0.05149312908022611,0.045370900512006984,0.003967985525770171,0.7064846416382252,0.8574946059287794,0.5705612121961218,3.5091623524723117,1.1763102074027758,0.016643827460913974
smooth02,0.2,293,61,0.2524405377509664,0.0008266707477200741,0.005186479883863822,0.552901023890785,0.05149312908022611,0.05015821669957992,0.0008425785906285496,0.5255972696245734,0.9440995399832456,0.7543527205835231,3.287259067831582,0.545853635556929,0.01107738158060037
