spec,smooth_weight,event_days_common,events_common,option_reprice_rmse_coin_mean,option_reprice_rmse_coin_median,option_reprice_rmse_coin_p90,option_reprice_rmse_coin_p95,option_reprice_rmse_coin_max,fitted_forward_abs_rel_error_mean
smooth0,0.0,293,61,0.005924739384656409,0.005438168890857754,0.009840897123550699,0.012490938471511786,0.01934664530808241,0.00034686165965051716
smooth005,0.05,293,61,0.006165665856352733,0.005519225003963764,0.010028064973865842,0.01269507197890988,0.0194489085132098,0.0003515250942842223
baseline,0.1,293,61,0.0063514874512795175,0.005674868387174259,0.010071542494436989,0.01300455188113779,0.01951282606226579,0.00036286085604028884
smooth02,0.2,293,61,0.006669070754932246,0.006069797899027799,0.010871686756691213,0.013473283840471889,0.019645121594667674,0.0003772463149331414
