event_type_for_trackB,events,pass_events,pass_share,median_initial_pm_survival,median_distance_to_half,median_kstar
bucket_distribution,79,79,1.0,0.4900627615062761,0.04444956241363429,4800.0
point_threshold,45,45,1.0,0.505,0.265,3900.0
