asset,deribit_curve_quality,event_days,events,rmse_coin_mean,rmse_coin_max,parity_rel_iqr_mean,forward_rel_error_abs_max,input_convexity_violations_mean
BTC,fail_sanity,1,1,0.02042167132356922,0.02042167132356922,0.008350025846457389,0.0015244729708647764,4.0
BTC,pass,173,36,0.005989502502025643,0.01783856518428054,0.008797470733929802,0.0021782724858121494,2.254335260115607
ETH,fail_sanity,6,6,0.023733184995274628,0.026604920809126992,0.02905994089385325,0.0034526301516166757,3.0
ETH,pass,121,25,0.006977002632906485,0.01951282606226579,0.010401204230893775,0.0020002346605367816,2.6611570247933884
