tail_group,rows,event_days,pm_probability_mean,abs_divergence_mean,relative_abs_divergence_mean,relative_abs_divergence_median,log_odds_divergence_mean,log_odds_divergence_median
body,2526,294,0.1044656973829342,0.02730619689144188,0.5683060728305892,0.2713809184692473,1.1944352060927577,0.004184656513040952
tail,588,294,0.051223891854945955,0.026923985956888153,0.8579793181535111,0.8509625435721582,3.5300400698097425,1.4240390639997131
