asset,horizon_gap_bin,event_days,events,l1_mean,l1_median,l2_mean,max_abs_mean,tail_mean,stale_mean,repricing_rmse_mean
BTC,-32h,52,10,0.3315295876377836,0.248033960381291,0.13562017644632024,0.09053629712509043,0.001725299238064918,0.15349275348645708,0.006248546263580035
ETH,-32h,31,6,0.2888244266358999,0.2606480720767551,0.11578751672261398,0.07661760033620016,-0.0010636875985759616,0.1754322303083913,0.006896359956510104
BTC,-8h,56,10,0.28955940129498575,0.232435165279278,0.12778529027279828,0.08813189496674498,-0.012229211943522016,0.15263687287324093,0.005429060934054404
ETH,-8h,38,7,0.2893822405307798,0.22689048358974379,0.1302833587992497,0.09442946899843284,-0.012905889528242606,0.17179455266087382,0.006782677429723298
BTC,+16h,25,6,0.27383199698258,0.2619525315601622,0.10790622881421115,0.0680583751592989,0.018635878355808738,0.14441663851304573,0.0060412975378942545
ETH,+16h,27,6,0.2670503868313191,0.2574330318295049,0.10280130551579572,0.06888436372140926,0.014422381290279777,0.1741801208106123,0.007552108423987723
BTC,+40h,40,10,0.26071389112979815,0.24168828814090096,0.09681150363390477,0.057510963820015214,0.032537751426975424,0.14673960080846826,0.006404991909746786
ETH,+40h,25,6,0.27668374722655587,0.23487538645820205,0.10195408687093,0.06254719248034855,0.0355819685255809,0.19773205741626795,0.006751259606108704
